Country Name,Country Code,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,18053222734.8881,18799444414.5998,19955929060.841,14266499429.8746,,
Africa Eastern and Southern,AFE,1012521425296.35,1006191000190.48,928880235176.594,1086530704900.5,1185137703650.99,
Africa Western and Central,AFW,768158194632.397,823405580187.913,786962436538.391,844927536437.833,875393693658.084,
Albania,ALB,15156424015.1977,15401826127.2539,15162734205.2462,17930565118.8176,18916378860.5488,
Algeria,DZA,174910684781.571,171760275466.61,145743542982.628,163472387986.768,194998449769.085,
American Samoa,ASM,639000000.0,647000000.0,721000000.0,750000000.0,871000000.0,
Andorra,AND,3218418631.67579,3155150255.91195,2891002460.29153,3325143693.28714,3352031094.22914,
Angola,AGO,79450688232.0011,70897962712.6213,48501561230.001,66505129989.243,106782770714.619,
Antigua and Barbuda,ATG,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667,1867733333.33333,
Arab World,ARB,2845898419157.25,2871654771820.86,2535508549316.27,2930480380710.72,3543339785308.86,
Argentina,ARG,524819892360.176,447754683615.225,385740508436.965,487902572164.348,631133384439.944,
Armenia,ARM,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378,19513474648.2429,
Aruba,ABW,3276184357.5419,3395798882.68156,2558906303.88098,3103184101.51354,3544707788.05664,
Australia,AUS,1429733668185.91,1394671325960.57,1330381544909.3,1559033756285.13,1692956646855.7,
Austria,AUT,454991174096.102,444596155845.254,435049316955.737,479295362747.047,470941926750.741,
Azerbaijan,AZE,47112470051.7701,48174235294.1176,42693000000.0,54825411764.7059,78721058823.5294,
"Bahamas, The",BHS,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0,
Bahrain,BHR,37802005319.1489,38653318085.1064,34621807712.766,39288670212.766,44383297872.3404,
Bangladesh,BGD,321379127909.353,351238399005.451,373902197869.16,416264800549.026,460201265527.977,
Barbados,BRB,5110250000.0,5341100000.0,4738800000.0,4923100000.0,5699950000.0,
Belarus,BLR,60031173807.7196,64410122847.3508,61371755326.2351,69673747131.87,72793457588.4367,
Belgium,BEL,543299066998.902,535865804349.803,526264230147.394,600748812601.541,583435595579.963,
Belize,BLZ,2292787335.62452,2386792476.10637,2047727810.06777,2424575179.3783,2830507575.6841,
Benin,BEN,14262408079.7014,14390708756.988,15686741893.5187,17687623534.6665,17396792699.5489,
Bermuda,BMU,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7546000000.0,
Bhutan,BTN,2583335723.83252,2735683408.71698,2457604042.76364,2768003872.54065,,
Bolivia,BOL,40287647930.5355,40895322850.9407,36629843806.0781,40406111695.179,44008282877.9606,
Bosnia and Herzegovina,BIH,20484053868.9246,20482608755.379,20226036564.4129,23649568276.8447,24473906673.7086,
Botswana,BWA,17031943186.1353,16725908666.8462,14960291541.176,18737066311.1597,20355541962.8512,
Brazil,BRA,1916933898038.36,1873288205186.45,1476107231194.11,1649622821885.14,1920095779022.73,
British Virgin Islands,VGB,,,,,,
Brunei Darussalam,BRN,13566937673.7966,13469235364.7032,12005799653.9835,14006496617.4458,16681536466.7183,
Bulgaria,BGR,66370132238.3914,68881010245.5498,70368758395.141,84041493015.6618,90346169914.9349,
Burkina Faso,BFA,15890066221.2882,16032813501.6639,17725010530.7894,19642668879.7694,18820064797.8379,
Burundi,BDI,2667182199.51333,2576518879.82353,2649680261.43998,2775798697.47186,3338722827.66241,
Cabo Verde,CPV,2205099506.99994,2252177124.32402,1821565613.68613,1997866378.77119,2226862134.08787,
Cambodia,KHM,24571753583.3935,27089390032.798,25872797891.7664,26961061151.7337,29504829319.3169,
Cameroon,CMR,39973842087.2242,39670976452.5283,40773241177.0505,44993521774.066,43644068310.851,
Canada,CAN,1725329192783.02,1743725183672.52,1655684730000.19,2007472181464.15,2161483369422.01,
Caribbean small states,CSS,76540797383.5589,77253744414.7289,65860096129.8181,76123490342.5381,94867024971.9129,
Cayman Islands,CYM,5530178440.71376,5941896607.58643,5647224988.89996,6028373513.49405,6844827379.30952,
Central African Republic,CAF,2220979146.11241,2221301351.43918,2326720900.38047,2516498412.46384,2382618615.01694,
Central Europe and the Baltics,CEB,1648634467771.53,1674210532695.96,1665327992740.77,1908002281033.51,1944198197077.57,
Chad,TCD,11239167898.3395,11314951091.7283,10715396042.3343,11779981332.8631,12704149840.2283,
Channel Islands,CHI,10422948632.4216,10381669645.1366,9811538461.53846,11735662219.7772,,
Chile,CHL,295857562826.427,278598887622.96,254258196269.735,316581155648.871,301024724911.923,
China,CHN,13894907857925.9,14279968506242.8,14687744162801.0,17820459508852.2,17963171479205.3,
Colombia,COL,334198218100.719,323031701210.765,270150956772.57,318511813576.97,343622114560.409,
Comoros,COM,1188797449.96029,1195019531.03664,1225039195.93742,1296089479.45831,1242519407.27815,
"Congo, Dem. Rep.",COD,47568210009.8172,51775829877.2088,48716961860.1325,55328482783.5393,64718641221.216,
"Congo, Rep.",COG,14773806078.1348,13976661497.841,11468608530.2038,14825708810.7046,15816996654.5788,
Costa Rica,CRI,62420164991.5374,64417670521.1842,62395610760.3912,64960725734.2362,69243626028.6696,
Cote d'Ivoire,CIV,58522477744.5444,59898479821.2323,62982768371.6208,71811075955.078,70018715016.8293,
Croatia,HRV,61481309636.1289,61470295887.8384,57760024673.9359,69081236641.2469,71600049650.195,
Cuba,CUB,100050036096.123,103427600000.0,107351800000.0,,,
Curacao,CUW,3046364819.53197,3026124115.73275,2534327592.49914,2739594359.5908,3075180834.72417,
Cyprus,CYP,25523485042.6265,25947027570.4262,25227201184.2295,29482917678.8954,29250524418.0855,
Czechia,CZE,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290565654835.809,
Denmark,DNK,356841216410.068,346498737961.635,354762748338.661,405687998852.691,400167196948.707,
Djibouti,DJI,2913466732.12507,3088853638.56832,3185150981.03207,3385825228.86997,3515108859.95465,
Dominica,DMA,554770370.37037,611537037.037037,504214814.814815,555266666.666667,607440740.740741,
Dominican Republic,DOM,85555390139.118,88941372558.2397,78844656298.1776,94243425938.3647,113537368176.13,
Early-demographic dividend,EAR,11504322295801.5,11743140069350.9,10941489484842.6,12716982787439.0,14148420366435.9,
East Asia & Pacific,EAS,26487849774769.5,27032674446875.7,27155249687649.4,31141271720840.7,30712490177155.8,
East Asia & Pacific (IDA & IBRD countries),TEA,16619858519557.6,17192007435430.8,17465796008751.6,20813163295456.1,21167325456079.4,
East Asia & Pacific (excluding high income),EAP,16640611153965.4,17213484850175.7,17487617929386.2,20839170495754.5,21193771562304.2,
Ecuador,ECU,107562008000.0,108108009000.0,99291124000.0,106165866000.0,115049476000.0,
"Egypt, Arab Rep.",EGY,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742,
El Salvador,SLV,26020850000.0,26881140000.0,24930080000.0,29451240000.0,32488720000.0,
Equatorial Guinea,GNQ,13097012124.2267,11364133546.2488,9893816016.147,12104994084.4108,12029633746.519,
Eritrea,ERI,,,,,,
Estonia,EST,30624720196.229,31081901909.2156,31370395572.7658,37191166151.98,38100812958.5196,
Eswatini,SWZ,4666598024.18411,4466214591.14854,3982236692.55236,4850842571.59151,4790922065.6101,
Ethiopia,ETH,84269196625.8784,95912607722.3032,107657734392.446,111261882958.426,126783471597.671,
Euro area,EMU,13760663487274.4,13480528531193.6,13154981793981.9,14754736438720.2,14207593902747.6,
Europe & Central Asia,ECS,23188460071899.6,22907909231787.3,22156584402676.9,25324876871395.7,25344209837077.1,
Europe & Central Asia (IDA & IBRD countries),TEC,4076953150706.89,4159143876282.08,3900173017455.42,4616362221588.67,5189746524698.23,
Europe & Central Asia (excluding high income),ECA,3183375960368.65,3250597309710.46,2991607694833.72,3580124604033.79,4129330109662.66,
European Union,EUU,15980992271824.8,15693432719569.6,15381174426002.4,17315218527836.1,16746544871112.0,
Faroe Islands,FRO,3188600927.46688,3266432734.22819,3262045883.37293,3655063937.93145,3555929833.05051,
Fiji,FJI,5581425324.91185,5444407214.31758,4432466237.09588,4305031630.81808,4979979546.0123,
Finland,FIN,275708001767.843,268514916972.549,271886077382.102,296470417085.267,282649838009.729,
Fragile and conflict affected situations,FCS,1735106586576.45,1838740662563.75,1666563897610.01,1782595197342.36,1906134056808.84,
France,FRA,2790956878746.66,2728870246705.88,2647418691598.45,2959355819170.5,2779092236505.85,
French Polynesia,PYF,6135116253.33452,6022276196.13871,5792545870.80614,6150640646.38319,5814661208.90544,
Gabon,GAB,16867326401.9626,16874405465.391,15314577154.8076,20217946922.4528,21071739224.8918,
"Gambia, The",GMB,1670671327.81651,1813609692.49994,1812170891.19069,2038414968.60683,2187194563.48605,
Georgia,GEO,17596922469.9152,17470436258.5131,15842922532.7202,18629365612.096,24780791063.7131,
Germany,DEU,3974443355019.6,3889177589254.9,3887727161914.41,4278503934689.85,4082469490797.68,
Ghana,GHA,67298913752.0241,68337974418.3315,70043095503.6675,79524421861.2743,73766052451.5256,
Gibraltar,GIB,,,,,,
Greece,GRC,212049447242.111,205252760889.364,188480337285.605,214667807441.202,217581324512.059,
Greenland,GRL,3055782146.15957,2997309971.87623,3082884653.2456,3235809504.29871,,
Grenada,GRD,1166514814.81481,1213485185.18519,1043411111.11111,1122800000.0,1215379155.67282,
Guam,GUM,6056000000.0,6366000000.0,5886000000.0,6123000000.0,,
Guatemala,GTM,73328365862.4329,77172317258.6478,77715183063.2054,86053083476.0294,95003330315.8754,
Guinea,GIN,11857030367.2441,13442861496.4128,14177835841.3923,16091817842.1318,20999229260.4955,
Guinea-Bissau,GNB,1504630233.68158,1439638410.99683,1431758231.68522,1638517606.89496,1633559092.08861,
Guyana,GUY,4787637005.53562,5173760191.84652,5471256594.72422,8041362110.31175,14718388489.2086,
Haiti,HTI,16403864522.0538,15016090929.5125,14508222518.3018,20877414952.6375,20253551884.6055,
Heavily indebted poor countries (HIPC),HPC,774573998850.907,802980678249.156,811638956819.199,901695869344.623,980688371242.572,
High income,,54836830985504.0,55313082529074.3,53962245346670.1,60245547578675.2,61729512123777.8,
Honduras,HND,24067750760.499,25089937021.5418,23827859226.8834,28488721680.8502,31717699764.3621,
"Hong Kong SAR, China",HKG,361731070995.726,363074545072.389,344943149590.058,368911387845.418,359838583490.063,
Hungary,HUN,160565642983.587,164020460331.659,157227094449.074,182090041757.269,177337436677.365,
IBRD only,IBD,30560357864180.0,31223142705198.9,30066587396556.6,35660094024046.1,37752366428370.0,
IDA & IBRD total,IBT,32938136046152.3,33691655159953.4,32484256023838.5,38289419290322.9,40573962163610.3,
IDA blend,IDB,1049969368721.42,1070881784785.96,1003544540837.38,1097399972030.71,1175091814528.12,
IDA only,IDX,1327821959516.08,1397275344254.42,1413399718729.76,1533308141483.89,1647744371553.08,
IDA total,IDA,2377791328237.5,2468157129040.39,2416944259567.14,2630708113514.59,2822821779328.87,
Iceland,ISL,26260850582.0687,24681343649.2952,21565767851.144,25595940169.5879,28064529851.3098,
India,IND,2702929641707.38,2835606256616.03,2671595405986.86,3150306839142.13,3416645826052.87,
Indonesia,IDN,1042271532988.63,1119099871350.2,1059054842698.48,1186505455736.54,1319100220407.72,
"Iran, Islamic Rep.",IRN,329691934144.504,283649531542.631,239735486745.704,359096907772.985,413493207349.265,
Iraq,IRQ,227367469034.031,233636097800.338,180924091442.953,207691599310.345,264182173793.103,
Ireland,IRL,386693357874.056,398933010007.356,428608687830.239,513391778882.86,533140011838.276,
Isle of Man,IMN,7491654051.07858,7314966839.12782,6684229268.50545,,,
Israel,ISR,376691526553.276,402470513619.148,413267669231.522,488526545878.891,525002447652.773,
Italy,ITA,2091932426266.98,2011302198827.45,1897461635591.91,2155360298998.03,2049737165407.98,
Jamaica,JAM,15730792835.5811,15830766570.7266,13812421803.4084,14657586127.0331,17097760723.9201,
Japan,JPN,5040880939324.86,5117993853016.51,5055587093501.59,5034620784584.98,4256410760723.75,
Jordan,JOR,43370860704.2254,44502816901.4085,43700383098.5916,46296100140.8451,48653381780.6397,
Kazakhstan,KAZ,179339977690.485,181667184854.501,171082365861.423,197112255360.612,225496328925.494,
Kenya,KEN,92202979985.2863,100378436207.371,100657505750.545,109703658904.994,113420008178.793,
Kiribati,KIR,196501525.688652,175181629.286475,177553274.584763,227610079.145208,223353014.294593,
"Korea, Dem. People's Rep.",PRK,,,,,,
"Korea, Rep.",KOR,1725373496825.43,1651422932447.77,1644312831906.17,1818432106880.04,1673916469026.56,
Kosovo,XKX,7878759714.82322,7899737577.47286,7717145217.81247,9412034299.23122,9409473517.95304,
Kuwait,KWT,138202535799.918,136191825724.364,105948807280.731,137384258875.558,175363265306.122,
Kyrgyz Republic,KGZ,8271106235.41552,9371275264.36735,8270468614.24051,9249133946.26531,11543966558.842,
Lao PDR,LAO,18141651381.3884,18740559554.1632,18981800705.0794,18827148528.9934,15468785203.7532,
Late-demographic dividend,LTE,22622945177203.9,23047304219392.9,22529291712189.9,26841170398812.4,28075737913541.5,
Latin America & Caribbean,LCN,5742577449796.09,5660897574206.23,4809518812031.76,5553340649720.43,6302490414791.98,
Latin America & Caribbean (excluding high income),LAC,4870478423342.98,4805258641141.59,4051085288658.45,4665360652347.6,5352536850675.35,
Latin America & the Caribbean (IDA & IBRD countries),TLA,5500845963862.16,5409465895796.12,4561170249972.34,5281323492901.43,6001569526439.77,
Latvia,LVA,34429023435.0211,34225547537.0745,34390910338.9604,39443126174.4335,40932030049.5644,
Least developed countries: UN classification,LDC,1090340580865.41,1150342153767.93,1160259828981.81,1265336288798.07,1424210446281.73,
Lebanon,LBN,54901519155.5556,51605959131.2741,31712128253.7961,23131941556.7843,,
Lesotho,LSO,2556247291.99785,2361966946.29803,2067813018.99465,2348771013.21241,2236502124.16956,
Liberia,LBR,3422754800.0,3319596500.0,3039982500.0,3509000000.0,4001046970.0,
Libya,LBY,76686048497.4801,69254143966.8182,46808208746.0839,39798423941.0335,45752336035.9846,
Liechtenstein,LIE,6692620691.84146,6436467007.11932,6405870210.32293,7710380085.92257,,
Lithuania,LTU,53751411409.4447,54808531641.4117,56964942999.3651,66798933785.7702,70974490450.4944,
Low & middle income,LMY,31407572198498.7,32161964423657.0,31016572707362.3,36577654820988.3,38810361603320.4,
Low income,,418173076161.261,445190704339.154,438045256317.456,465047139991.8,528124562235.072,
Lower middle income,,6612134450126.96,6884143285710.08,6618962128022.98,7595602780154.06,8171521483867.57,
Luxembourg,LUX,71000359760.4611,69890505323.5842,73699366700.2134,85584105993.8746,81641807865.7591,
"Macao SAR, China",MAC,55190661339.7796,55082293844.1008,25343525935.8358,30969334705.0515,24042287326.5729,
Madagascar,MDG,13760033282.2925,14104664678.5063,13051441203.9474,14554754116.5427,15297192798.9771,
Malawi,MWI,9880675785.93057,11025371147.1876,12056108778.3125,12602334121.6286,13164667626.9363,
Malaysia,MYS,358788845712.53,365177721021.516,337456163961.211,373832428055.449,407027451714.616,
Maldives,MDV,5404344159.49959,5726094797.67486,3712604580.32081,5254366310.44801,6170638746.965,
Mali,MLI,17070867589.9055,17280250810.0321,17465392764.3706,19309463508.0377,18827176529.6983,
Malta,MLT,15404393365.2073,15992378640.0553,15252609039.0749,18087205251.3605,18125564514.2664,
Marshall Islands,MHL,219430038.452148,231996704.101563,240751144.40918,257784881.591797,258774475.097656,
Mauritania,MRT,7473550557.07378,7894764885.82312,8260752385.23089,9222536364.01272,9780863578.97688,
Mauritius,MUS,14735695930.9727,14436346979.6355,11408106446.3144,11484357947.9086,12948726653.811,
Mexico,MEX,1256300182983.65,1305212479961.59,1120741118380.27,1312557512901.28,1465854089286.47,
"Micronesia, Fed. Sts.",FSM,401932300.0,416000000.0,408000000.0,406000000.0,424000000.0,
Middle East & North Africa,MEA,3518411932515.51,3522918900782.3,3158039788618.23,3741604188467.06,4426622170629.0,
Middle East & North Africa (IDA & IBRD countries),TMN,1385560841911.77,1391490811737.43,1269352235067.64,1482949612650.41,1677609783949.53,
Middle East & North Africa (excluding high income),MNA,1401837441911.77,1408624311737.43,1284883935067.64,1501058612650.41,1696713423187.56,
Middle income,MIC,30988164983467.2,31716230149539.0,30578372789487.2,36110412339698.6,38281934115375.6,
Moldova,MDA,11253727815.4762,11735774634.4239,11531967881.0624,13692230147.0588,14508333280.4233,
Monaco,MCO,7182444409.54069,7383944044.17,6739645416.47916,8626081320.50612,8784002931.68665,
Mongolia,MNG,13178094720.4986,14206359017.5143,13312981429.0891,15286441737.6686,17146471626.3963,
Montenegro,MNE,5506942238.35668,5542054181.12616,4769996866.00758,5861427505.12493,6229801580.79157,
Morocco,MAR,127341147581.818,128920266409.458,121353645057.144,141817797083.468,130912558829.84,
Mozambique,MOZ,15017358750.6113,15512759174.573,14235420505.2904,16168056388.9101,18406835954.6695,
Myanmar,MMR,67855845007.3168,75072038085.8542,79045695084.5069,66262813093.4824,62263466263.7375,
Namibia,NAM,13682018827.0434,12541928102.7657,10583748541.5258,12446290854.8973,12914932655.685,
Nauru,NRU,130995566.30391,125160115.547819,124685688.161094,145536615.893046,151647846.128953,
Nepal,NPL,33111525183.2178,34186180695.9969,33433659223.6349,36924841428.7182,40828247303.5337,
Netherlands,NLD,914043438179.607,910194347568.626,909793466661.481,1029678338329.44,1009398719033.08,
New Caledonia,NCL,9896402283.68587,9475655324.59495,9454629467.91408,10071349663.8484,9623318718.31459,
New Zealand,NZL,211886686924.483,213091987153.092,212569779569.519,255551704625.831,248101705541.399,
Nicaragua,NIC,13025234958.647,12699028991.3771,12678162403.5929,14145880399.1935,15671583939.9889,
Niger,NER,12837307496.8797,12889555561.304,13744653102.9945,14915002435.9913,15342278919.4009,
Nigeria,NGA,421739251509.08,474517491092.913,432198898221.967,440838992188.478,472624597402.898,
North America,NAC,22265612481783.0,23132124767672.5,22723045490000.2,25329679941464.1,27608729369422.0,
North Macedonia,MKD,12683068114.2388,12606338448.547,12363580534.6811,13998355971.3044,13563132102.1663,
Northern Mariana Islands,MNP,1301000000.0,1181000000.0,858000000.0,,,
Norway,NOR,439788625883.8,408742840909.091,367633418886.627,503367986030.268,593348981537.661,
Not classified,,,,,,,
OECD members,OED,53402556614341.3,53912943272768.0,52590370145873.6,58623788402038.1,59849878381707.5,
Oman,OMN,91505851755.5267,88060858257.4772,75909397659.2978,88191977373.212,114667360208.062,
Other small states,OSS,443324754299.418,434461797325.026,378440036056.011,457103617285.36,530807158164.414,
Pacific island small states,PSS,10764416947.198,10709524679.9782,9492350931.30444,9500154100.4459,10324332231.7802,
Pakistan,PAK,356128166704.921,320909472770.669,300425609817.981,348516647445.148,374697366359.244,
Palau,PLW,288546281.25,281970375.0,257885921.875,232903015.625,,
Panama,PAN,67294169200.0,69721787500.0,57086836900.0,67406738100.0,76522511800.0,
Papua New Guinea,PNG,24109780708.0268,24751066910.5409,23848445103.9227,26113333244.5115,31603619041.7903,
Paraguay,PRY,40225448340.6322,37925338329.1494,35432178068.1814,39950899938.7482,41722295229.2279,
Peru,PER,222597009739.235,228325821196.153,201947615138.567,223717799056.526,242631573320.79,
Philippines,PHL,346841896583.515,376823402244.928,361751145451.597,394087359844.049,404284326110.463,
Poland,POL,588779850758.053,596058473058.766,599442783598.064,681346136411.701,688125010520.52,
Portugal,PRT,242313116577.967,239986922638.902,229031860520.777,255534839405.899,255196660987.427,
Post-demographic dividend,PST,50380466224066.0,50878122051753.5,49740885136767.2,55301094121160.6,56211584699649.4,
Pre-demographic dividend,PRE,1353328613575.52,1426582966203.49,1309417999889.29,1432814193024.43,1617245641605.59,
Puerto Rico,PRI,100958100000.0,105126400000.0,103130900000.0,106368900000.0,113434800000.0,
Qatar,QAT,183334953818.681,176371267689.082,144411363345.27,179732009554.846,236258302839.653,
Romania,ROU,243316029944.056,251017797625.017,251362514349.697,285810244501.933,300691354864.855,
Russian Federation,RUS,1657328773461.31,1693115002708.32,1493075894362.14,1836892075547.52,2240422427458.58,
Rwanda,RWA,9636254325.02444,10346326599.029,10172303393.0612,11054517345.7109,13311487445.0686,
Samoa,WSM,878448433.404342,912950466.064906,868898358.266437,843923638.733018,832945205.637185,
San Marino,SMR,1655354303.86998,1616188702.33964,1541247883.99351,1855382833.1165,,
Sao Tome and Principe,STP,383717327.830508,412976064.479214,471229484.607144,524402450.755612,542686976.457587,
Saudi Arabia,SAU,846583791842.629,838564705295.139,734271183944.989,874156115900.131,1108571517285.38,
Senegal,SEN,23116701556.1381,23403995992.1354,24530513037.7518,27569136729.9023,27684264748.2324,
Serbia,SRB,50640662859.4987,51514242938.6734,53356484591.4378,63101069561.2193,63563401043.5044,
Seychelles,SYC,1588050311.16454,1645090567.04612,1183515314.03478,1286687308.25807,1588438144.37685,
Sierra Leone,SLE,4085114387.55605,4076578698.79107,4062906265.7332,4249234704.01866,4094563859.43556,
Singapore,SGP,376869492498.009,376837580397.579,348392090695.217,423797100521.555,466788426791.966,
Sint Maarten (Dutch part),SXM,1259200442.69574,1407880465.5512,1236428075.42112,1353071060.2652,1537088724.46126,
Slovak Republic,SVK,106137924015.593,105711680180.565,106731482855.496,118576482542.583,115461711688.965,
Slovenia,SVN,54177882425.8431,54386654313.9685,53734526854.2289,61832201543.8285,60063475466.3446,
Small states,SST,530629968630.175,522425066419.733,453792483117.133,542727261728.344,636018280142.001,
Solomon Islands,SLB,1615478393.28614,1619155017.3924,1536145814.17007,1580303515.40945,1597204340.62902,
Somalia,SOM,8278212314.40591,9420431258.24667,9204140383.17507,9838711529.45863,10419541202.0382,
South Africa,ZAF,405260723892.868,389330032221.07,338291396025.956,420117812463.841,405270850099.387,
South Asia,SAS,3534083235323.88,3658216510053.27,3489923527067.67,4062850047299.39,4390347563465.91,
South Asia (IDA & IBRD),TSA,3534083235323.88,3658216510053.27,3489923527067.67,4062850047299.39,4390347563465.91,
South Sudan,SSD,,,,,,
Spain,ESP,1421702715218.04,1394320055129.41,1278128867875.49,1445651653604.63,1417800466262.65,
Sri Lanka,LKA,94493871200.7869,89014978344.1404,84440516486.1099,88548049121.4972,74403578363.4355,
St. Kitts and Nevis,KNA,1076240740.74074,1107155555.55556,883933333.333333,858592592.592592,965638864.921867,
St. Lucia,LCA,2057066666.66667,2102534000.0,1604444444.44444,1961111111.11111,2343703703.7037,
St. Martin (French part),MAF,,652206037.103874,,649206262.847519,,
St. Vincent and the Grenadines,VCT,884329629.62963,910766666.666667,869111111.111111,872222222.222222,948559259.259259,
Sub-Saharan Africa,SSF,1780679619928.75,1829596580378.4,1715842671714.98,1931458241338.34,2060531397309.08,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1780679619928.75,1829596580378.4,1715842671714.98,1931458241338.34,2060531397309.08,
Sub-Saharan Africa (excluding high income),SSA,1779091569617.59,1827951489811.35,1714659156400.95,1930171554030.08,2058942959164.7,
Sudan,SDN,32333780383.2924,32338079165.2893,27034593750.0,34229513773.9708,51662241775.0629,
Suriname,SUR,3996198866.57453,4016040575.08796,2911807496.20227,3081401725.88833,3620987993.32637,
Sweden,SWE,555455371487.089,533879529188.454,547054174235.876,639714956069.468,591718144602.141,
Switzerland,CHE,725568717468.001,721369112726.724,741999406005.627,813408787222.499,818426550206.45,
Syrian Arab Republic,SYR,21496337948.9175,22600896342.9399,11156757922.0385,8969512933.38826,,
Tajikistan,TJK,7765000282.26569,8300813889.60795,8133963813.07025,8937805347.13963,10492123387.7931,
Tanzania,TZA,57003712892.0858,61026731925.9213,66068737786.0639,70655628147.8986,75732311666.039,
Thailand,THA,506754208404.485,543976691793.886,500457264955.763,505568063988.806,495423343049.622,
Timor-Leste,TLS,1566157200.0,2027034000.0,2162619200.0,3621958000.0,3204753000.0,
Togo,TGO,7029215766.46367,6992654019.28876,7486031561.86885,8443112143.23844,8341225241.45693,
Tonga,TON,488906838.594866,512053692.078675,484796854.918756,469228219.665791,,
Trinidad and Tobago,TTO,24569079488.3913,23775754304.6652,20807571314.3043,24496505940.6673,30053575132.142,
Tunisia,TUN,42686580020.8322,41905540184.424,42538289933.2162,46687293140.3377,46303552449.3542,
Turkiye,TUR,778972199727.859,761005946788.221,720338498174.744,819865253669.661,907118435952.688,
Turkmenistan,TKM,40765428571.4286,45232857142.8571,45818000000.0,50007428571.4286,56542857142.8571,
Turks and Caicos Islands,TCA,1113178000.0,1197415000.0,924583000.0,1044778790.0,1138808881.1,
Tuvalu,TUV,48015259.8751356,54123198.5662913,51746594.3148543,60196405.7138393,59065979.0227679,
Uganda,UGA,32927025619.6795,35348155095.4215,37605430214.3519,40510241365.8914,45567304608.4764,
Ukraine,UKR,130891088293.55,153883047509.577,156617722013.342,199765859570.935,160502737251.047,
United Arab Emirates,ARE,427049432149.345,417989721734.494,349473015336.939,415178792769.884,507063968273.313,
United Kingdom,GBR,2871340347581.79,2851407164907.81,2697806592293.86,3141506156618.7,3089072722400.14,
United States,USA,20533057312000.0,21380976119000.0,21060473613000.0,23315080560000.0,25439700000000.0,
Upper middle income,,24376030533340.2,24832086863829.0,23959410661464.3,28515803406297.6,30110929970107.6,
Uruguay,URY,65203071817.9812,62048585618.505,53666908053.7655,61412268248.9461,71177146197.4951,
Uzbekistan,UZB,52870108217.2949,60283503705.3907,60224701296.7885,69600614987.3509,80391853887.4049,
Vanuatu,VUT,914736985.430944,936526267.622513,909421043.508407,971636097.850666,1055811723.74753,
"Venezuela, RB",VEN,,,,,,
Viet Nam,VNM,310106478394.659,334365270496.667,346615738537.796,366137569122.215,408802378904.838,
Virgin Islands (U.S.),VIR,3923000000.0,4121000000.0,4189000000.0,4444000000.0,,
West Bank and Gaza,PSE,16276600000.0,17133500000.0,15531700000.0,18109000000.0,19111900000.0,
World,WLD,86542678179037.4,87777403956338.7,85272676295874.0,97153181162291.0,100879560825391.0,
"Yemen, Rep.",YEM,21606160783.9845,,,,,
Zambia,ZMB,26311507273.6735,23308667781.2258,18110638269.2238,22096416933.7902,29163782138.3415,
Zimbabwe,ZWE,34156069918.0609,21832234921.1762,21509698406.6618,28371238665.8646,27366627153.0852,
